ma_gia_su,ho_ten,gioi_tinh,nam_sinh,hoc_vi,chuyen_nganh,truong_hoc_ma,truong_hoc_ten,loai_truong,khu_vuc_ma,ten_khu_vuc,quan_huyen,tinh_thanh,nam_kinh_nghiem,hinh_thuc_day,hoc_phi_trung_binh_gio,nguon_du_lieu,trang_thai,ngay_cap_nhat,mon_hoc_ma,ten_mon_hoc,nhom_mon_hoc,lop_hoc_ma,lop_hoc_ten,cap_hoc,hoc_phi_trung_binh_gio_day_mon,ma_hoc_sinh_danh_gia,diem_xep_hang,ngay_danh_gia
GS_EX_0011,Trần Quang Kiệt,nam,1998,Cu nhan,Sư phạm Toán,DH_QGHN,Đại học Quốc gia Hà Nội,dai_hoc,KV_HCM_Q7,Quận 7,Quận 7,Hồ Chí Minh,4,ca_hai,150000,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_12,Lớp 12,thpt,150000,,,
GS_EX_0012,Trần Hoàng Thu,nu,2002,Thac si,Sư phạm Toán,DH_DN,Đại học Đà Nẵng,dai_hoc,KV_HCM_TD,Thủ Đức,Thủ Đức,Hồ Chí Minh,1,ca_hai,250000,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_06,Lớp 6,thcs,250000,HS_EX_0833,4.2,2026-03-11
GS_EX_0013,Bùi Mai Hân,nu,2003,Cu nhan,Công nghệ thông tin,DH_Y_HCM,Đại học Y Dược TP.HCM,dai_hoc,KV_DN_HC,Hải Châu,Hải Châu,Đà Nẵng,4,truc_tiep,180000,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_06,Lớp 6,thcs,180000,HS_EX_0571,4.68,2026-03-26
GS_EX_0014,Dương Thị Hân,nu,2003,Ky su,Sư phạm Toán,DH_TM,Đại học Thương mại,dai_hoc,KV_HCM_Q7,Quận 7,Quận 7,Hồ Chí Minh,6,online,250000,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_12,Lớp 12,thpt,250000,HS_EX_0170,4.99,2026-03-11
GS_EX_0015,Trần Ngọc Linh,nu,1997,Thac si,Ngôn ngữ Anh,DH_QGHN,Đại học Quốc gia Hà Nội,dai_hoc,KV_HCM_Q3,Quận 3,Quận 3,Hồ Chí Minh,6,online,250000,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_12,Lớp 12,thpt,250000,HS_EX_0160,3.68,2026-03-14
GS_EX_0016,Dương Bảo Mai,nu,1996,Cu nhan,Sư phạm Toán,DH_KHTN_HN,Đại học Khoa học Tự nhiên Hà Nội,dai_hoc,KV_DN_ST,Sơn Trà,Sơn Trà,Đà Nẵng,7,truc_tiep,150000,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_06,Lớp 6,thcs,150000,HS_EX_0753,4.55,2026-03-19
GS_EX_0017,Ngô Ngọc Hân,nu,2003,Cu nhan,Công nghệ thông tin,DH_XD,Đại học Xây dựng Hà Nội,dai_hoc,KV_HN_CG,Cầu Giấy,Cầu Giấy,Hà Nội,7,truc_tiep,200000,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_09,Lớp 9,thcs,200000,HS_EX_0748,4.69,2026-03-22
GS_EX_0018,Bùi Quang Phú,nam,1999,Cu nhan,Ngôn ngữ Anh,DH_BK_HCM,Đại học Bách Khoa TP.HCM,dai_hoc,KV_HN_LB,Long Biên,Long Biên,Hà Nội,7,ca_hai,150000,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_09,Lớp 9,thcs,150000,,,
GS_EX_0019,Lê Thanh Nhung,nu,2002,Ky su,Quản trị Kinh doanh,DH_GTVT,Đại học Giao thông Vận tải,dai_hoc,KV_DN_NHS,Ngũ Hành Sơn,Ngũ Hành Sơn,Đà Nẵng,3,ca_hai,200000,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_06,Lớp 6,thcs,200000,HS_EX_0211,4.01,2026-03-31
GS_EX_0020,Phạm Hồng Nhung,nu,1999,Ky su,Quản trị Kinh doanh,DH_TM,Đại học Thương mại,dai_hoc,KV_HN_HK,Hoàn Kiếm,Hoàn Kiếm,Hà Nội,3,online,180000,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_06,Lớp 6,thcs,180000,HS_EX_0315,3.79,2026-03-29
GS_EX_0021,Đặng Ngọc Nhung,nu,2002,Cu nhan,Ngôn ngữ Anh,DH_DN,Đại học Đà Nẵng,dai_hoc,KV_HN_HK,Hoàn Kiếm,Hoàn Kiếm,Hà Nội,6,ca_hai,250000,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_10,Lớp 10,thpt,250000,HS_EX_0591,3.77,2026-03-15
GS_EX_0022,Lý Minh Đức,nam,2003,Cu nhan,Công nghệ thông tin,DH_BK_HCM,Đại học Bách Khoa TP.HCM,dai_hoc,KV_HCM_Q7,Quận 7,Quận 7,Hồ Chí Minh,6,online,200000,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_09,Lớp 9,thcs,200000,HS_EX_0257,3.82,2026-03-10
GS_EX_0023,Đặng Văn Huy,nam,2003,Cu nhan,Công nghệ thông tin,DH_UEH,Đại học Kinh tế TP.HCM,dai_hoc,KV_HN_HM,Hoàng Mai,Hoàng Mai,Hà Nội,8,ca_hai,200000,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_12,Lớp 12,thpt,200000,HS_EX_0093,4.01,2026-03-16
GS_EX_0024,Đỗ Thanh An,nu,1997,Thac si,Sư phạm Toán,DH_TM,Đại học Thương mại,dai_hoc,KV_HCM_Q4,Quận 4,Quận 4,Hồ Chí Minh,5,ca_hai,150000,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_06,Lớp 6,thcs,150000,HS_EX_0506,4.75,2026-03-07
GS_EX_0025,Dương Ngọc Thu,nu,2000,Ky su,Sư phạm Toán,DH_KT_DN,Đại học Kinh tế Đà Nẵng,dai_hoc,KV_HCM_Q5,Quận 5,Quận 5,Hồ Chí Minh,2,ca_hai,180000,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_06,Lớp 6,thcs,180000,HS_EX_0336,4.54,2026-03-30
GS_EX_0026,Lý Mai Châu,nu,2003,Cu nhan,Sư phạm Toán,DH_BK_HCM,Đại học Bách Khoa TP.HCM,dai_hoc,KV_HCM_Q4,Quận 4,Quận 4,Hồ Chí Minh,8,truc_tiep,180000,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_12,Lớp 12,thpt,180000,HS_EX_0632,3.79,2026-04-01
GS_EX_0027,Trần Đức Nam,nam,2001,Cu nhan,Ngôn ngữ Anh,DH_Y_HCM,Đại học Y Dược TP.HCM,dai_hoc,KV_HCM_Q8,Quận 8,Quận 8,Hồ Chí Minh,6,ca_hai,180000,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_09,Lớp 9,thcs,180000,HS_EX_0302,4.33,2026-03-22
GS_EX_0028,Đỗ Thái Phú,nam,2002,Ky su,Quản trị Kinh doanh,DH_QGHN,Đại học Quốc gia Hà Nội,dai_hoc,KV_HN_LB,Long Biên,Long Biên,Hà Nội,7,ca_hai,250000,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_10,Lớp 10,thpt,250000,HS_EX_0497,3.66,2026-03-20
GS_EX_0029,Trần Thái Nam,nam,2003,Ky su,Ngôn ngữ Anh,DH_GTVT,Đại học Giao thông Vận tải,dai_hoc,KV_HN_DD,Đống Đa,Đống Đa,Hà Nội,4,truc_tiep,180000,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_12,Lớp 12,thpt,180000,HS_EX_0025,4.53,2026-03-12
GS_EX_0030,Đỗ Thanh Thảo,nu,2001,Ky su,Quản trị Kinh doanh,DH_KHTN_HN,Đại học Khoa học Tự nhiên Hà Nội,dai_hoc,KV_HN_DD,Đống Đa,Đống Đa,Hà Nội,8,ca_hai,250000,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_12,Lớp 12,thpt,250000,HS_EX_0377,4.7,2026-03-06
GS_EX_0031,Dương Hữu Tuấn,nam,2002,Ky su,Sư phạm Toán,DH_SP_HN,Đại học Sư phạm Hà Nội,dai_hoc,KV_HCM_Q8,Quận 8,Quận 8,Hồ Chí Minh,1,ca_hai,180000,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_12,Lớp 12,thpt,180000,HS_EX_0735,4.23,2026-03-04
GS_EX_0032,Nguyễn Quang Hùng,nam,1996,Cu nhan,Quản trị Kinh doanh,DH_NT_HN,Đại học Ngoại thương Hà Nội,dai_hoc,KV_HN_BD,Ba Đình,Ba Đình,Hà Nội,3,online,180000,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_10,Lớp 10,thpt,180000,,,
GS_EX_0033,Phạm Thanh Thu,nu,2002,Ky su,Quản trị Kinh doanh,DH_TM,Đại học Thương mại,dai_hoc,KV_HN_DD,Đống Đa,Đống Đa,Hà Nội,1,truc_tiep,250000,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_06,Lớp 6,thcs,250000,HS_EX_0412,4.03,2026-03-24
GS_EX_0034,Nguyễn Văn Đức,nam,1995,Thac si,Sư phạm Toán,DH_KTQD,Đại học Kinh tế Quốc dân,dai_hoc,KV_HN_DD,Đống Đa,Đống Đa,Hà Nội,2,truc_tiep,250000,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_06,Lớp 6,thcs,250000,,,
GS_EX_0035,Nguyễn Quang Đạt,nam,1998,Thac si,Sư phạm Toán,DH_KHTN_HCM,Đại học Khoa học Tự nhiên TP.HCM,dai_hoc,KV_DN_HC,Hải Châu,Hải Châu,Đà Nẵng,3,online,250000,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_09,Lớp 9,thcs,250000,HS_EX_0214,3.7,2026-03-04
GS_EX_0036,Đỗ Thái Hùng,nam,1997,Thac si,Sư phạm Toán,DH_UEH,Đại học Kinh tế TP.HCM,dai_hoc,KV_HN_BD,Ba Đình,Ba Đình,Hà Nội,5,truc_tiep,200000,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_10,Lớp 10,thpt,200000,HS_EX_0759,3.81,2026-03-11
GS_EX_0037,Lê Văn Cường,nam,2002,Ky su,Quản trị Kinh doanh,DH_KTQD,Đại học Kinh tế Quốc dân,dai_hoc,KV_HN_TX,Thanh Xuân,Thanh Xuân,Hà Nội,2,ca_hai,250000,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_12,Lớp 12,thpt,250000,HS_EX_0337,4.44,2026-03-12
GS_EX_0038,Phạm Quang Cường,nam,2001,Thac si,Ngôn ngữ Anh,DH_KHTN_HN,Đại học Khoa học Tự nhiên Hà Nội,dai_hoc,KV_HCM_TD,Thủ Đức,Thủ Đức,Hồ Chí Minh,3,online,200000,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_06,Lớp 6,thcs,200000,HS_EX_0793,3.82,2026-03-17
GS_EX_0039,Nguyễn Hữu Đức,nam,1999,Cu nhan,Công nghệ thông tin,DH_UEH,Đại học Kinh tế TP.HCM,dai_hoc,KV_HCM_TB,Tân Bình,Tân Bình,Hồ Chí Minh,1,ca_hai,150000,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_12,Lớp 12,thpt,150000,HS_EX_0498,3.76,2026-03-21
GS_EX_0040,Ngô Hữu Huy,nam,1995,Thac si,Công nghệ thông tin,DH_GTVT,Đại học Giao thông Vận tải,dai_hoc,KV_HCM_Q7,Quận 7,Quận 7,Hồ Chí Minh,6,ca_hai,200000,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_06,Lớp 6,thcs,200000,HS_EX_0483,4.98,2026-03-22
GS_EX_0041,Phạm Mai An,nu,2002,Ky su,Ngôn ngữ Anh,DH_NT_HN,Đại học Ngoại thương Hà Nội,dai_hoc,KV_HN_HM,Hoàng Mai,Hoàng Mai,Hà Nội,1,online,150000,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_06,Lớp 6,thcs,150000,HS_EX_0826,4.47,2026-03-22
GS_EX_0042,Đỗ Minh Đạt,nam,1996,Cu nhan,Sư phạm Toán,DH_DN,Đại học Đà Nẵng,dai_hoc,KV_DN_LC,Liên Chiểu,Liên Chiểu,Đà Nẵng,5,truc_tiep,200000,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_06,Lớp 6,thcs,200000,,,
GS_EX_0043,Đặng Thái Đức,nam,2003,Ky su,Công nghệ thông tin,DH_SP_HCM,Đại học Sư phạm TP.HCM,dai_hoc,KV_HCM_Q8,Quận 8,Quận 8,Hồ Chí Minh,6,ca_hai,180000,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_09,Lớp 9,thcs,180000,HS_EX_0857,4.33,2026-03-06
GS_EX_0044,Hoàng Quang Nam,nam,1997,Cu nhan,Công nghệ thông tin,DH_KHTN_HCM,Đại học Khoa học Tự nhiên TP.HCM,dai_hoc,KV_HN_TH,Tây Hồ,Tây Hồ,Hà Nội,7,truc_tiep,200000,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_09,Lớp 9,thcs,200000,HS_EX_0084,3.98,2026-03-11
GS_EX_0045,Hoàng Mai Thảo,nu,1999,Ky su,Quản trị Kinh doanh,DH_QGHN,Đại học Quốc gia Hà Nội,dai_hoc,KV_HCM_Q5,Quận 5,Quận 5,Hồ Chí Minh,6,truc_tiep,150000,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_06,Lớp 6,thcs,150000,HS_EX_0197,3.63,2026-03-30
GS_EX_0046,Đỗ Ngọc Nhung,nu,1995,Ky su,Ngôn ngữ Anh,DH_XD,Đại học Xây dựng Hà Nội,dai_hoc,KV_HN_NTL,Nam Từ Liêm,Nam Từ Liêm,Hà Nội,4,ca_hai,180000,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_12,Lớp 12,thpt,180000,HS_EX_0400,4.54,2026-04-02
GS_EX_0047,Lê Văn Cường,nam,1999,Thac si,Công nghệ thông tin,DH_KHTN_HCM,Đại học Khoa học Tự nhiên TP.HCM,dai_hoc,KV_HN_TX,Thanh Xuân,Thanh Xuân,Hà Nội,5,ca_hai,250000,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_10,Lớp 10,thpt,250000,HS_EX_0990,4.06,2026-03-14
GS_EX_0048,Lê Trọng Đức,nam,1996,Cu nhan,Sư phạm Toán,DH_GTVT,Đại học Giao thông Vận tải,dai_hoc,KV_HN_BTL,Bắc Từ Liêm,Bắc Từ Liêm,Hà Nội,8,truc_tiep,200000,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_10,Lớp 10,thpt,200000,HS_EX_0622,3.54,2026-03-15
GS_EX_0049,Bùi Thái Kiệt,nam,2002,Ky su,Sư phạm Toán,DH_UEH,Đại học Kinh tế TP.HCM,dai_hoc,KV_HN_DD,Đống Đa,Đống Đa,Hà Nội,1,truc_tiep,150000,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_06,Lớp 6,thcs,150000,,,
GS_EX_0050,Bùi Bảo Trang,nu,2001,Ky su,Quản trị Kinh doanh,DH_DN,Đại học Đà Nẵng,dai_hoc,KV_HN_TH,Tây Hồ,Tây Hồ,Hà Nội,8,ca_hai,250000,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_10,Lớp 10,thpt,250000,HS_EX_0249,4.75,2026-03-10
GS_EX_0051,Vũ Ngọc Mai,nu,2003,Cu nhan,Quản trị Kinh doanh,DH_NL_HCM,Đại học Nông Lâm TP.HCM,dai_hoc,KV_DN_LC,Liên Chiểu,Liên Chiểu,Đà Nẵng,8,ca_hai,250000,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_10,Lớp 10,thpt,250000,HS_EX_0902,4.48,2026-04-01
GS_EX_0052,Vũ Hữu Phú,nam,2000,Thac si,Quản trị Kinh doanh,DH_KHTN_HCM,Đại học Khoa học Tự nhiên TP.HCM,dai_hoc,KV_HN_BD,Ba Đình,Ba Đình,Hà Nội,8,ca_hai,180000,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_10,Lớp 10,thpt,180000,HS_EX_0951,4.58,2026-03-31
GS_EX_0053,Lý Trọng Khoa,nam,2003,Thac si,Công nghệ thông tin,DH_TM,Đại học Thương mại,dai_hoc,KV_HN_BTL,Bắc Từ Liêm,Bắc Từ Liêm,Hà Nội,1,truc_tiep,250000,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_10,Lớp 10,thpt,250000,HS_EX_0514,4.74,2026-03-11
GS_EX_0054,Đặng Thị An,nu,2001,Ky su,Ngôn ngữ Anh,DH_DN,Đại học Đà Nẵng,dai_hoc,KV_HN_BTL,Bắc Từ Liêm,Bắc Từ Liêm,Hà Nội,3,online,180000,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_10,Lớp 10,thpt,180000,HS_EX_0040,4.03,2026-04-02
GS_EX_0055,Nguyễn Văn Huy,nam,1998,Ky su,Quản trị Kinh doanh,DH_BK_HN,Đại học Bách Khoa Hà Nội,dai_hoc,KV_HCM_Q5,Quận 5,Quận 5,Hồ Chí Minh,5,truc_tiep,180000,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_09,Lớp 9,thcs,180000,HS_EX_0054,4.48,2026-03-27
GS_EX_0056,Đặng Minh Khoa,nam,2000,Cu nhan,Công nghệ thông tin,DH_KT_DN,Đại học Kinh tế Đà Nẵng,dai_hoc,KV_DN_TK,Thanh Khê,Thanh Khê,Đà Nẵng,6,online,200000,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_09,Lớp 9,thcs,200000,HS_EX_0947,4.27,2026-03-29
GS_EX_0057,Dương Hữu Đức,nam,1999,Ky su,Ngôn ngữ Anh,DH_Y_HCM,Đại học Y Dược TP.HCM,dai_hoc,KV_HN_BTL,Bắc Từ Liêm,Bắc Từ Liêm,Hà Nội,3,online,200000,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_06,Lớp 6,thcs,200000,HS_EX_0442,4.82,2026-03-18
GS_EX_0058,Bùi Quang Cường,nam,1997,Ky su,Sư phạm Toán,DH_UEH,Đại học Kinh tế TP.HCM,dai_hoc,KV_HN_HM,Hoàng Mai,Hoàng Mai,Hà Nội,8,truc_tiep,150000,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_10,Lớp 10,thpt,150000,HS_EX_0194,3.6,2026-03-27
GS_EX_0059,Lý Hồng Hân,nu,2001,Thac si,Quản trị Kinh doanh,DH_BK_HCM,Đại học Bách Khoa TP.HCM,dai_hoc,KV_HCM_PN,Phú Nhuận,Phú Nhuận,Hồ Chí Minh,4,ca_hai,150000,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_06,Lớp 6,thcs,150000,,,
GS_EX_0060,Bùi Thị Trang,nu,2000,Cu nhan,Công nghệ thông tin,DH_QGHN,Đại học Quốc gia Hà Nội,dai_hoc,KV_HN_TH,Tây Hồ,Tây Hồ,Hà Nội,7,truc_tiep,250000,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_09,Lớp 9,thcs,250000,HS_EX_0331,4.22,2026-03-09
GS_EX_0061,Lê Minh Hùng,nam,2000,Ky su,Quản trị Kinh doanh,DH_KHTN_HCM,Đại học Khoa học Tự nhiên TP.HCM,dai_hoc,KV_HN_TH,Tây Hồ,Tây Hồ,Hà Nội,7,truc_tiep,200000,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_06,Lớp 6,thcs,200000,HS_EX_0451,4.4,2026-03-18
GS_EX_0062,Trần Hoàng Vy,nu,1999,Ky su,Ngôn ngữ Anh,DH_Y_HN,Đại học Y Hà Nội,dai_hoc,KV_HN_TH,Tây Hồ,Tây Hồ,Hà Nội,3,online,150000,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_06,Lớp 6,thcs,150000,HS_EX_0413,3.82,2026-03-21
GS_EX_0063,Vũ Thị Nhung,nu,1995,Ky su,Công nghệ thông tin,DH_BK_HCM,Đại học Bách Khoa TP.HCM,dai_hoc,KV_HN_HBT,Hai Bà Trưng,Hai Bà Trưng,Hà Nội,6,ca_hai,200000,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_09,Lớp 9,thcs,200000,,,
GS_EX_0064,Hoàng Hồng An,nu,1996,Thac si,Ngôn ngữ Anh,DH_TM,Đại học Thương mại,dai_hoc,KV_DN_ST,Sơn Trà,Sơn Trà,Đà Nẵng,4,ca_hai,150000,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_12,Lớp 12,thpt,150000,HS_EX_0957,4.34,2026-03-30
GS_EX_0065,Đặng Thanh Thảo,nu,2003,Cu nhan,Sư phạm Toán,DH_KHTN_HN,Đại học Khoa học Tự nhiên Hà Nội,dai_hoc,KV_HN_NTL,Nam Từ Liêm,Nam Từ Liêm,Hà Nội,5,online,180000,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_09,Lớp 9,thcs,180000,HS_EX_0954,4.68,2026-03-13
GS_EX_0066,Phạm Hồng An,nu,2003,Thac si,Sư phạm Toán,DH_DN,Đại học Đà Nẵng,dai_hoc,KV_HN_DD,Đống Đa,Đống Đa,Hà Nội,1,online,250000,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_12,Lớp 12,thpt,250000,HS_EX_0135,4.56,2026-03-08
GS_EX_0067,Dương Văn Tuấn,nam,1996,Thac si,Sư phạm Toán,DH_KHTN_HN,Đại học Khoa học Tự nhiên Hà Nội,dai_hoc,KV_DN_TK,Thanh Khê,Thanh Khê,Đà Nẵng,1,truc_tiep,150000,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_09,Lớp 9,thcs,150000,,,
GS_EX_0068,Dương Minh Nam,nam,2003,Ky su,Ngôn ngữ Anh,DH_SP_HN,Đại học Sư phạm Hà Nội,dai_hoc,KV_DN_LC,Liên Chiểu,Liên Chiểu,Đà Nẵng,1,ca_hai,250000,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_12,Lớp 12,thpt,250000,,,
