ma_gia_su,ho_ten,gioi_tinh,nam_sinh,hoc_vi,chuyen_nganh,truong_hoc_ma,truong_hoc_ten,loai_truong,khu_vuc_ma,ten_khu_vuc,quan_huyen,tinh_thanh,nam_kinh_nghiem,hinh_thuc_day,hoc_phi_trung_binh_gio,nguon_du_lieu,trang_thai,ngay_cap_nhat,mon_hoc_ma,ten_mon_hoc,nhom_mon_hoc,lop_hoc_ma,lop_hoc_ten,cap_hoc,hoc_phi_trung_binh_gio_day_mon,ma_hoc_sinh_danh_gia,diem_xep_hang,ngay_danh_gia
GS_WB_0011,Phạm Hoàng Thảo,nu,2002,Cu nhan,Sư phạm Toán,DH_GTVT,Đại học Giao thông Vận tải,dai_hoc,KV_HCM_Q3,Quận 3,Quận 3,Hồ Chí Minh,1,online,180000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_06,Lớp 6,thcs,180000,,,
GS_WB_0012,Đỗ Văn Tuấn,nam,1995,Ky su,Quản trị Kinh doanh,DH_FPT,Đại học FPT,dai_hoc,KV_HCM_TB,Tân Bình,Tân Bình,Hồ Chí Minh,1,online,180000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_09,Lớp 9,thcs,180000,HS_WB_0573,4.88,2026-03-15
GS_WB_0013,Dương Bảo Châu,nu,1997,Cu nhan,Công nghệ thông tin,DH_SP_HN,Đại học Sư phạm Hà Nội,dai_hoc,KV_DN_NHS,Ngũ Hành Sơn,Ngũ Hành Sơn,Đà Nẵng,5,ca_hai,180000,web,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_12,Lớp 12,thpt,180000,HS_WB_0228,3.83,2026-03-08
GS_WB_0014,Hoàng Đức Kiệt,nam,1996,Cu nhan,Quản trị Kinh doanh,DH_SP_HCM,Đại học Sư phạm TP.HCM,dai_hoc,KV_HCM_Q3,Quận 3,Quận 3,Hồ Chí Minh,1,online,250000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_12,Lớp 12,thpt,250000,HS_WB_0208,4.67,2026-03-17
GS_WB_0015,Vũ Hữu Huy,nam,1997,Cu nhan,Ngôn ngữ Anh,DH_NT_HN,Đại học Ngoại thương Hà Nội,dai_hoc,KV_HCM_Q1,Quận 1,Quận 1,Hồ Chí Minh,2,online,250000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_12,Lớp 12,thpt,250000,HS_WB_0429,3.58,2026-03-06
GS_WB_0016,Đặng Xuân Vy,nu,2001,Thac si,Công nghệ thông tin,DH_KHTN_HCM,Đại học Khoa học Tự nhiên TP.HCM,dai_hoc,KV_HN_TX,Thanh Xuân,Thanh Xuân,Hà Nội,8,truc_tiep,250000,web,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_09,Lớp 9,thcs,250000,HS_WB_0785,3.8,2026-03-04
GS_WB_0017,Nguyễn Thu Châu,nu,1995,Cu nhan,Sư phạm Toán,DH_BK_HCM,Đại học Bách Khoa TP.HCM,dai_hoc,KV_HCM_Q1,Quận 1,Quận 1,Hồ Chí Minh,2,ca_hai,250000,web,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_12,Lớp 12,thpt,250000,HS_WB_0164,4.49,2026-03-15
GS_WB_0018,Phạm Quang Cường,nam,1997,Thac si,Sư phạm Toán,DH_BK_HN,Đại học Bách Khoa Hà Nội,dai_hoc,KV_HCM_Q4,Quận 4,Quận 4,Hồ Chí Minh,5,truc_tiep,180000,web,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_06,Lớp 6,thcs,180000,HS_WB_0231,4.11,2026-03-25
GS_WB_0019,Đỗ Trọng Đức,nam,1995,Ky su,Quản trị Kinh doanh,DH_KT_DN,Đại học Kinh tế Đà Nẵng,dai_hoc,KV_HN_HK,Hoàn Kiếm,Hoàn Kiếm,Hà Nội,5,ca_hai,150000,web,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_10,Lớp 10,thpt,150000,HS_WB_0909,4.63,2026-03-31
GS_WB_0020,Dương Văn Đức,nam,1996,Ky su,Công nghệ thông tin,DH_KHTN_HN,Đại học Khoa học Tự nhiên Hà Nội,dai_hoc,KV_HN_DD,Đống Đa,Đống Đa,Hà Nội,1,online,200000,web,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_09,Lớp 9,thcs,200000,HS_WB_0182,4.64,2026-04-01
GS_WB_0021,Phạm Quang Cường,nam,1998,Ky su,Ngôn ngữ Anh,DH_NL_HCM,Đại học Nông Lâm TP.HCM,dai_hoc,KV_HN_HK,Hoàn Kiếm,Hoàn Kiếm,Hà Nội,4,online,150000,web,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_06,Lớp 6,thcs,150000,HS_WB_0389,4.53,2026-03-07
GS_WB_0022,Bùi Bảo Mai,nu,2002,Ky su,Quản trị Kinh doanh,DH_BK_HCM,Đại học Bách Khoa TP.HCM,dai_hoc,KV_DN_ST,Sơn Trà,Sơn Trà,Đà Nẵng,1,online,180000,web,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_12,Lớp 12,thpt,180000,HS_WB_0304,4.91,2026-03-08
GS_WB_0023,Đặng Đình Hùng,nam,2003,Ky su,Quản trị Kinh doanh,DH_KHTN_HCM,Đại học Khoa học Tự nhiên TP.HCM,dai_hoc,KV_HN_DD,Đống Đa,Đống Đa,Hà Nội,1,online,250000,web,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_12,Lớp 12,thpt,250000,HS_WB_0637,4.95,2026-03-09
GS_WB_0024,Bùi Thị An,nu,1997,Cu nhan,Quản trị Kinh doanh,DH_NT_HN,Đại học Ngoại thương Hà Nội,dai_hoc,KV_HN_NTL,Nam Từ Liêm,Nam Từ Liêm,Hà Nội,7,ca_hai,150000,web,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_09,Lớp 9,thcs,150000,,,
GS_WB_0025,Bùi Xuân Thu,nu,1995,Ky su,Ngôn ngữ Anh,DH_NT_HN,Đại học Ngoại thương Hà Nội,dai_hoc,KV_HCM_PN,Phú Nhuận,Phú Nhuận,Hồ Chí Minh,3,online,200000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_10,Lớp 10,thpt,200000,HS_WB_0415,4.75,2026-03-17
GS_WB_0026,Nguyễn Thu Nhung,nu,1995,Ky su,Ngôn ngữ Anh,DH_SP_HN,Đại học Sư phạm Hà Nội,dai_hoc,KV_HCM_BT,Bình Thạnh,Bình Thạnh,Hồ Chí Minh,7,ca_hai,180000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_12,Lớp 12,thpt,180000,HS_WB_0532,4.58,2026-03-20
GS_WB_0027,Ngô Bảo Thu,nu,2002,Thac si,Ngôn ngữ Anh,DH_QGHN,Đại học Quốc gia Hà Nội,dai_hoc,KV_HN_BD,Ba Đình,Ba Đình,Hà Nội,7,ca_hai,180000,web,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_10,Lớp 10,thpt,180000,HS_WB_0997,3.59,2026-03-16
GS_WB_0028,Hoàng Thanh Trang,nu,1999,Ky su,Ngôn ngữ Anh,DH_Y_HCM,Đại học Y Dược TP.HCM,dai_hoc,KV_HCM_Q3,Quận 3,Quận 3,Hồ Chí Minh,7,truc_tiep,250000,web,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_10,Lớp 10,thpt,250000,,,
GS_WB_0029,Phạm Bảo An,nu,1998,Cu nhan,Quản trị Kinh doanh,DH_Y_HN,Đại học Y Hà Nội,dai_hoc,KV_HN_CG,Cầu Giấy,Cầu Giấy,Hà Nội,2,ca_hai,200000,web,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_06,Lớp 6,thcs,200000,HS_WB_0433,4.7,2026-03-28
GS_WB_0030,Hoàng Thị Linh,nu,2001,Ky su,Quản trị Kinh doanh,DH_TM,Đại học Thương mại,dai_hoc,KV_DN_ST,Sơn Trà,Sơn Trà,Đà Nẵng,2,truc_tiep,180000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_10,Lớp 10,thpt,180000,HS_WB_0044,3.95,2026-03-13
GS_WB_0031,Đặng Bảo Mai,nu,1996,Thac si,Ngôn ngữ Anh,DH_KTQD,Đại học Kinh tế Quốc dân,dai_hoc,KV_HN_HM,Hoàng Mai,Hoàng Mai,Hà Nội,7,truc_tiep,150000,web,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_09,Lớp 9,thcs,150000,HS_WB_0487,4.41,2026-03-29
GS_WB_0032,Ngô Mai An,nu,1999,Thac si,Công nghệ thông tin,DH_NL_HCM,Đại học Nông Lâm TP.HCM,dai_hoc,KV_HN_CG,Cầu Giấy,Cầu Giấy,Hà Nội,7,truc_tiep,150000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_10,Lớp 10,thpt,150000,HS_WB_0782,3.79,2026-03-15
GS_WB_0033,Dương Hoàng Vy,nu,1995,Thac si,Quản trị Kinh doanh,DH_DN,Đại học Đà Nẵng,dai_hoc,KV_HN_HD,Hà Đông,Hà Đông,Hà Nội,5,online,150000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_10,Lớp 10,thpt,150000,HS_WB_0044,3.94,2026-03-22
GS_WB_0034,Phạm Ngọc Châu,nu,1995,Thac si,Công nghệ thông tin,DH_SP_HCM,Đại học Sư phạm TP.HCM,dai_hoc,KV_DN_HC,Hải Châu,Hải Châu,Đà Nẵng,4,online,250000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_12,Lớp 12,thpt,250000,HS_WB_0714,4.14,2026-03-30
GS_WB_0035,Trần Văn Đức,nam,1996,Cu nhan,Sư phạm Toán,DH_SP_HN,Đại học Sư phạm Hà Nội,dai_hoc,KV_HN_NTL,Nam Từ Liêm,Nam Từ Liêm,Hà Nội,5,ca_hai,150000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_09,Lớp 9,thcs,150000,HS_WB_0125,4.93,2026-03-15
GS_WB_0036,Bùi Hữu Hùng,nam,1996,Cu nhan,Quản trị Kinh doanh,DH_FPT,Đại học FPT,dai_hoc,KV_HN_HBT,Hai Bà Trưng,Hai Bà Trưng,Hà Nội,1,ca_hai,200000,web,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_06,Lớp 6,thcs,200000,HS_WB_0902,4.76,2026-03-07
GS_WB_0037,Trần Thị Hân,nu,2002,Cu nhan,Quản trị Kinh doanh,DH_UEH,Đại học Kinh tế TP.HCM,dai_hoc,KV_HCM_Q4,Quận 4,Quận 4,Hồ Chí Minh,4,online,200000,web,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_12,Lớp 12,thpt,200000,,,
GS_WB_0038,Ngô Văn Phú,nam,1996,Thac si,Quản trị Kinh doanh,DH_QGHN,Đại học Quốc gia Hà Nội,dai_hoc,KV_HN_HM,Hoàng Mai,Hoàng Mai,Hà Nội,5,truc_tiep,180000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_06,Lớp 6,thcs,180000,HS_WB_0428,4.19,2026-03-28
GS_WB_0039,Phạm Trọng Đức,nam,1998,Ky su,Ngôn ngữ Anh,DH_NL_HCM,Đại học Nông Lâm TP.HCM,dai_hoc,KV_HCM_Q1,Quận 1,Quận 1,Hồ Chí Minh,7,truc_tiep,180000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_09,Lớp 9,thcs,180000,HS_WB_0167,3.67,2026-03-20
GS_WB_0040,Dương Văn Đức,nam,1998,Ky su,Công nghệ thông tin,DH_FPT,Đại học FPT,dai_hoc,KV_HCM_TP,Tân Phú,Tân Phú,Hồ Chí Minh,1,online,150000,web,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_12,Lớp 12,thpt,150000,,,
GS_WB_0041,Ngô Minh Đạt,nam,2000,Thac si,Sư phạm Toán,DH_BK_HCM,Đại học Bách Khoa TP.HCM,dai_hoc,KV_DN_HC,Hải Châu,Hải Châu,Đà Nẵng,4,truc_tiep,150000,web,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_06,Lớp 6,thcs,150000,HS_WB_0672,3.62,2026-03-27
GS_WB_0042,Ngô Ngọc An,nu,1995,Ky su,Ngôn ngữ Anh,DH_FPT,Đại học FPT,dai_hoc,KV_HCM_PN,Phú Nhuận,Phú Nhuận,Hồ Chí Minh,5,ca_hai,250000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_09,Lớp 9,thcs,250000,HS_WB_0571,4.03,2026-03-14
GS_WB_0043,Dương Xuân Nhung,nu,2000,Thac si,Ngôn ngữ Anh,DH_QGHN,Đại học Quốc gia Hà Nội,dai_hoc,KV_HN_CG,Cầu Giấy,Cầu Giấy,Hà Nội,2,ca_hai,250000,web,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_06,Lớp 6,thcs,250000,HS_WB_0886,3.92,2026-04-02
GS_WB_0044,Đỗ Hải Đức,nam,1997,Ky su,Ngôn ngữ Anh,DH_XD,Đại học Xây dựng Hà Nội,dai_hoc,KV_HN_TX,Thanh Xuân,Thanh Xuân,Hà Nội,8,online,250000,web,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_12,Lớp 12,thpt,250000,HS_WB_0420,4.57,2026-03-18
GS_WB_0045,Dương Văn Đức,nam,2002,Ky su,Quản trị Kinh doanh,DH_Y_HN,Đại học Y Hà Nội,dai_hoc,KV_HN_NTL,Nam Từ Liêm,Nam Từ Liêm,Hà Nội,5,ca_hai,180000,web,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_10,Lớp 10,thpt,180000,HS_WB_0230,4.98,2026-03-13
GS_WB_0046,Phạm Thái Hùng,nam,1998,Thac si,Sư phạm Toán,DH_KTQD,Đại học Kinh tế Quốc dân,dai_hoc,KV_HCM_Q7,Quận 7,Quận 7,Hồ Chí Minh,8,truc_tiep,250000,web,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_06,Lớp 6,thcs,250000,HS_WB_0179,3.89,2026-03-08
GS_WB_0047,Phạm Minh Đạt,nam,2003,Cu nhan,Sư phạm Toán,DH_KTQD,Đại học Kinh tế Quốc dân,dai_hoc,KV_HN_BD,Ba Đình,Ba Đình,Hà Nội,5,online,150000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_09,Lớp 9,thcs,150000,HS_WB_0121,4.36,2026-03-13
GS_WB_0048,Bùi Hữu Cường,nam,2002,Ky su,Sư phạm Toán,DH_KHTN_HN,Đại học Khoa học Tự nhiên Hà Nội,dai_hoc,KV_HCM_Q5,Quận 5,Quận 5,Hồ Chí Minh,7,online,250000,web,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_12,Lớp 12,thpt,250000,HS_WB_0752,4.67,2026-03-17
GS_WB_0049,Đỗ Mai Châu,nu,2001,Cu nhan,Ngôn ngữ Anh,DH_KHTN_HCM,Đại học Khoa học Tự nhiên TP.HCM,dai_hoc,KV_HN_DD,Đống Đa,Đống Đa,Hà Nội,1,truc_tiep,150000,web,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_10,Lớp 10,thpt,150000,HS_WB_0320,4.66,2026-03-12
GS_WB_0050,Dương Đức Khoa,nam,2002,Cu nhan,Ngôn ngữ Anh,DH_UEH,Đại học Kinh tế TP.HCM,dai_hoc,KV_HCM_Q5,Quận 5,Quận 5,Hồ Chí Minh,4,online,250000,web,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_12,Lớp 12,thpt,250000,HS_WB_0540,4.07,2026-03-23
GS_WB_0051,Lê Hữu Nam,nam,1995,Ky su,Công nghệ thông tin,DH_KHTN_HN,Đại học Khoa học Tự nhiên Hà Nội,dai_hoc,KV_HN_HBT,Hai Bà Trưng,Hai Bà Trưng,Hà Nội,2,truc_tiep,250000,web,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_10,Lớp 10,thpt,250000,HS_WB_0808,4.22,2026-03-11
GS_WB_0052,Đặng Văn Cường,nam,2000,Cu nhan,Ngôn ngữ Anh,DH_KTQD,Đại học Kinh tế Quốc dân,dai_hoc,KV_HN_LB,Long Biên,Long Biên,Hà Nội,7,online,200000,web,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_10,Lớp 10,thpt,200000,HS_WB_0588,4.63,2026-03-25
GS_WB_0053,Dương Đình Phú,nam,1996,Cu nhan,Công nghệ thông tin,DH_KHTN_HN,Đại học Khoa học Tự nhiên Hà Nội,dai_hoc,KV_HCM_TD,Thủ Đức,Thủ Đức,Hồ Chí Minh,5,online,250000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_09,Lớp 9,thcs,250000,,,
GS_WB_0054,Trần Quang Cường,nam,1997,Cu nhan,Sư phạm Toán,DH_BK_HN,Đại học Bách Khoa Hà Nội,dai_hoc,KV_HN_CG,Cầu Giấy,Cầu Giấy,Hà Nội,6,truc_tiep,150000,web,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_09,Lớp 9,thcs,150000,,,
GS_WB_0055,Phạm Ngọc Thu,nu,1998,Ky su,Quản trị Kinh doanh,DH_FPT,Đại học FPT,dai_hoc,KV_HN_TX,Thanh Xuân,Thanh Xuân,Hà Nội,1,online,200000,web,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_10,Lớp 10,thpt,200000,HS_WB_0547,4.68,2026-03-24
GS_WB_0056,Ngô Hữu Hùng,nam,1998,Ky su,Công nghệ thông tin,DH_UEH,Đại học Kinh tế TP.HCM,dai_hoc,KV_HN_TH,Tây Hồ,Tây Hồ,Hà Nội,6,ca_hai,180000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_06,Lớp 6,thcs,180000,HS_WB_0335,3.62,2026-03-30
GS_WB_0057,Đặng Thái Đức,nam,1996,Ky su,Công nghệ thông tin,DH_NL_HCM,Đại học Nông Lâm TP.HCM,dai_hoc,KV_HN_HBT,Hai Bà Trưng,Hai Bà Trưng,Hà Nội,8,ca_hai,180000,web,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,LOP_09,Lớp 9,thcs,180000,,,
GS_WB_0058,Bùi Đức Đạt,nam,1996,Thac si,Ngôn ngữ Anh,DH_CNTT,Đại học Công nghệ Thông tin TP.HCM,dai_hoc,KV_DN_HC,Hải Châu,Hải Châu,Đà Nẵng,4,truc_tiep,200000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_06,Lớp 6,thcs,200000,HS_WB_0792,4.7,2026-03-18
GS_WB_0059,Lý Đức Tuấn,nam,1995,Thac si,Sư phạm Toán,DH_KHTN_HN,Đại học Khoa học Tự nhiên Hà Nội,dai_hoc,KV_HCM_Q1,Quận 1,Quận 1,Hồ Chí Minh,4,truc_tiep,250000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_12,Lớp 12,thpt,250000,HS_WB_0502,3.66,2026-03-23
GS_WB_0060,Ngô Văn Đức,nam,2001,Cu nhan,Sư phạm Toán,DH_CNTT,Đại học Công nghệ Thông tin TP.HCM,dai_hoc,KV_HN_HK,Hoàn Kiếm,Hoàn Kiếm,Hà Nội,6,truc_tiep,250000,web,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_12,Lớp 12,thpt,250000,HS_WB_0268,3.86,2026-03-16
GS_WB_0061,Nguyễn Thanh Vy,nu,2000,Cu nhan,Ngôn ngữ Anh,DH_Y_HCM,Đại học Y Dược TP.HCM,dai_hoc,KV_HN_DD,Đống Đa,Đống Đa,Hà Nội,4,ca_hai,150000,web,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_09,Lớp 9,thcs,150000,HS_WB_0274,3.61,2026-03-27
GS_WB_0062,Bùi Hồng Mai,nu,2001,Thac si,Công nghệ thông tin,DH_SP_HN,Đại học Sư phạm Hà Nội,dai_hoc,KV_DN_CL,Cẩm Lệ,Cẩm Lệ,Đà Nẵng,3,ca_hai,150000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_06,Lớp 6,thcs,150000,,,
GS_WB_0063,Trần Đức Nam,nam,2003,Ky su,Công nghệ thông tin,DH_Y_HCM,Đại học Y Dược TP.HCM,dai_hoc,KV_HN_HM,Hoàng Mai,Hoàng Mai,Hà Nội,7,ca_hai,180000,web,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_12,Lớp 12,thpt,180000,,,
GS_WB_0064,Lê Thu Thảo,nu,1999,Ky su,Ngôn ngữ Anh,DH_SP_HCM,Đại học Sư phạm TP.HCM,dai_hoc,KV_DN_NHS,Ngũ Hành Sơn,Ngũ Hành Sơn,Đà Nẵng,6,ca_hai,250000,web,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_10,Lớp 10,thpt,250000,HS_WB_0808,4.76,2026-03-08
GS_WB_0065,Phạm Ngọc Hân,nu,1997,Ky su,Ngôn ngữ Anh,DH_SP_HN,Đại học Sư phạm Hà Nội,dai_hoc,KV_DN_HC,Hải Châu,Hải Châu,Đà Nẵng,3,truc_tiep,250000,web,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_06,Lớp 6,thcs,250000,,,
GS_WB_0066,Trần Hữu Nam,nam,1999,Cu nhan,Công nghệ thông tin,DH_KTQD,Đại học Kinh tế Quốc dân,dai_hoc,KV_DN_TK,Thanh Khê,Thanh Khê,Đà Nẵng,2,ca_hai,200000,web,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,LOP_10,Lớp 10,thpt,200000,HS_WB_0516,4.3,2026-03-18
GS_WB_0067,Bùi Thu Mai,nu,1995,Ky su,Ngôn ngữ Anh,DH_NL_HCM,Đại học Nông Lâm TP.HCM,dai_hoc,KV_DN_NHS,Ngũ Hành Sơn,Ngũ Hành Sơn,Đà Nẵng,1,online,250000,web,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,LOP_09,Lớp 9,thcs,250000,HS_WB_0900,4.13,2026-03-16
GS_WB_0068,Bùi Đức Nam,nam,2000,Cu nhan,Ngôn ngữ Anh,DH_BK_HCM,Đại học Bách Khoa TP.HCM,dai_hoc,KV_HCM_Q4,Quận 4,Quận 4,Hồ Chí Minh,3,truc_tiep,150000,web,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,LOP_10,Lớp 10,thpt,150000,HS_WB_0570,3.69,2026-03-25
