ma_hoc_sinh,ho_ten,truong_hoc_ma,truong_hoc_ten,loai_truong,lop_hoc_ma,lop_hoc_ten,cap_hoc,khu_vuc_ma,ten_khu_vuc,quan_huyen,tinh_thanh,hoc_luc,nguon_du_lieu,trang_thai,ngay_cap_nhat,mon_hoc_ma,ten_mon_hoc,nhom_mon_hoc,hinh_thuc_hoc,muc_tieu_hoc_tap,ngan_sach_toi_da_gio,so_buoi_moi_tuan,trang_thai_nhu_cau,ngay_dang
HS_EX_0014,Trần Thanh Thu,THPT_ND,THPT Nguyễn Du,thpt,LOP_10,Lớp 10,thpt,KV_HCM_Q5,Quận 5,Quận 5,Hồ Chí Minh,xuat_sac,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,online,Cải thiện điểm số,150000,2,dang_tim_gia_su,2026-03-18
HS_EX_0015,Hoàng Hải Khoa,THPT_ND,THPT Nguyễn Du,thpt,LOP_06,Lớp 6,thcs,KV_HN_HK,Hoàn Kiếm,Hoàn Kiếm,Hà Nội,trung_binh,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,ca_hai,Cải thiện điểm số,150000,4,dang_tim_gia_su,2026-03-04
HS_EX_0016,Vũ Trọng Hùng,THPT_HHT,THPT Hoàng Hoa Thám,thpt,LOP_12,Lớp 12,thpt,KV_DN_CL,Cẩm Lệ,Cẩm Lệ,Đà Nẵng,kha,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,online,Cải thiện điểm số,200000,4,dang_tim_gia_su,2026-03-13
HS_EX_0017,Phạm Ngọc Thu,THPT_LQD_HN,THPT Lê Quý Đôn - Đống Đa,thpt,LOP_09,Lớp 9,thcs,KV_DN_ST,Sơn Trà,Sơn Trà,Đà Nẵng,yeu,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,ca_hai,Cải thiện điểm số,200000,4,dang_tim_gia_su,2026-03-25
HS_EX_0018,Nguyễn Trọng Cường,THPT_PN,THPT Phú Nhuận,thpt,LOP_09,Lớp 9,thcs,KV_HN_HD,Hà Đông,Hà Đông,Hà Nội,kha,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,truc_tiep,Cải thiện điểm số,150000,3,dang_tim_gia_su,2026-04-02
HS_EX_0019,Phạm Thị Thảo,THPT_VD,THPT Việt Đức,thpt,LOP_09,Lớp 9,thcs,KV_HCM_Q3,Quận 3,Quận 3,Hồ Chí Minh,gioi,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,online,Cải thiện điểm số,250000,4,dang_tim_gia_su,2026-03-31
HS_EX_0020,Đặng Minh Cường,THPT_CVA,THPT Chu Văn An,thpt,LOP_10,Lớp 10,thpt,KV_HN_NTL,Nam Từ Liêm,Nam Từ Liêm,Hà Nội,trung_binh,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,truc_tiep,Cải thiện điểm số,250000,2,dang_tim_gia_su,2026-03-06
HS_EX_0021,Lê Hữu Khoa,THPT_ST,THPT Sơn Tây,thpt,LOP_12,Lớp 12,thpt,KV_DN_ST,Sơn Trà,Sơn Trà,Đà Nẵng,yeu,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,truc_tiep,Cải thiện điểm số,150000,4,dang_tim_gia_su,2026-03-09
HS_EX_0022,Hoàng Mai Nhung,THPT_MQ,THPT Mạc Đĩnh Chi,thpt,LOP_10,Lớp 10,thpt,KV_HN_BD,Ba Đình,Ba Đình,Hà Nội,xuat_sac,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,ca_hai,Cải thiện điểm số,150000,3,dang_tim_gia_su,2026-03-20
HS_EX_0023,Ngô Hồng Hân,THPT_CVD,THPT Cẩm Lệ,thpt,LOP_10,Lớp 10,thpt,KV_DN_ST,Sơn Trà,Sơn Trà,Đà Nẵng,xuat_sac,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,online,Cải thiện điểm số,150000,3,dang_tim_gia_su,2026-03-18
HS_EX_0024,Đỗ Ngọc Châu,THPT_TTT,THPT Tôn Thất Tùng,thpt,LOP_12,Lớp 12,thpt,KV_DN_ST,Sơn Trà,Sơn Trà,Đà Nẵng,yeu,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,truc_tiep,Cải thiện điểm số,250000,3,dang_tim_gia_su,2026-04-03
HS_EX_0025,Phạm Hoàng Linh,THPT_MC,THPT Marie Curie,thpt,LOP_06,Lớp 6,thcs,KV_HN_HK,Hoàn Kiếm,Hoàn Kiếm,Hà Nội,yeu,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,truc_tiep,Cải thiện điểm số,150000,2,dang_tim_gia_su,2026-03-13
HS_EX_0026,Dương Bảo Thảo,THPT_BTX,THPT Bùi Thị Xuân,thpt,LOP_06,Lớp 6,thcs,KV_HN_BTL,Bắc Từ Liêm,Bắc Từ Liêm,Hà Nội,trung_binh,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,truc_tiep,Cải thiện điểm số,150000,3,dang_tim_gia_su,2026-03-22
HS_EX_0027,Bùi Quang Phú,THPT_NT_HN,THPT Nguyễn Trãi - Ba Đình,thpt,LOP_10,Lớp 10,thpt,KV_HCM_TB,Tân Bình,Tân Bình,Hồ Chí Minh,trung_binh,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,ca_hai,Cải thiện điểm số,200000,2,dang_tim_gia_su,2026-03-17
HS_EX_0028,Vũ Thái Cường,THPT_CVD,THPT Cẩm Lệ,thpt,LOP_06,Lớp 6,thcs,KV_HCM_Q7,Quận 7,Quận 7,Hồ Chí Minh,yeu,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,truc_tiep,Cải thiện điểm số,250000,3,dang_tim_gia_su,2026-03-11
HS_EX_0029,Hoàng Văn Kiệt,THPT_TPh,THPT Thái Phiên,thpt,LOP_10,Lớp 10,thpt,KV_HCM_Q8,Quận 8,Quận 8,Hồ Chí Minh,xuat_sac,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,truc_tiep,Cải thiện điểm số,200000,3,dang_tim_gia_su,2026-03-26
HS_EX_0030,Lý Hải Cường,THPT_CBQ,THPT Cao Bá Quát,thpt,LOP_06,Lớp 6,thcs,KV_HN_HBT,Hai Bà Trưng,Hai Bà Trưng,Hà Nội,xuat_sac,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,online,Cải thiện điểm số,150000,4,dang_tim_gia_su,2026-03-24
HS_EX_0031,Bùi Hải Cường,THPT_CBQ,THPT Cao Bá Quát,thpt,LOP_12,Lớp 12,thpt,KV_HN_TH,Tây Hồ,Tây Hồ,Hà Nội,trung_binh,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,ca_hai,Cải thiện điểm số,200000,4,dang_tim_gia_su,2026-03-10
HS_EX_0032,Hoàng Văn Khoa,THPT_NMK,THPT Nguyễn Thị Minh Khai,thpt,LOP_12,Lớp 12,thpt,KV_HCM_Q10,Quận 10,Quận 10,Hồ Chí Minh,yeu,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,online,Cải thiện điểm số,250000,3,dang_tim_gia_su,2026-03-26
HS_EX_0033,Đặng Hữu Tuấn,THPT_DD,THPT Đống Đa,thpt,LOP_12,Lớp 12,thpt,KV_HCM_Q1,Quận 1,Quận 1,Hồ Chí Minh,kha,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,ca_hai,Cải thiện điểm số,150000,4,dang_tim_gia_su,2026-04-02
HS_EX_0034,Nguyễn Đình Đạt,THPT_CBQ,THPT Cao Bá Quát,thpt,LOP_09,Lớp 9,thcs,KV_HCM_TB,Tân Bình,Tân Bình,Hồ Chí Minh,kha,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,online,Cải thiện điểm số,250000,3,dang_tim_gia_su,2026-03-18
HS_EX_0035,Nguyễn Thu Linh,THPT_MQ,THPT Mạc Đĩnh Chi,thpt,LOP_12,Lớp 12,thpt,KV_HCM_GV,Gò Vấp,Gò Vấp,Hồ Chí Minh,trung_binh,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,online,Cải thiện điểm số,200000,3,dang_tim_gia_su,2026-03-17
HS_EX_0036,Đỗ Đình Hùng,THPT_LQD_HN,THPT Lê Quý Đôn - Đống Đa,thpt,LOP_12,Lớp 12,thpt,KV_HN_TX,Thanh Xuân,Thanh Xuân,Hà Nội,gioi,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,ca_hai,Cải thiện điểm số,150000,2,dang_tim_gia_su,2026-03-30
HS_EX_0037,Dương Hồng Châu,THPT_NH,THPT Nguyễn Hiền,thpt,LOP_06,Lớp 6,thcs,KV_DN_NHS,Ngũ Hành Sơn,Ngũ Hành Sơn,Đà Nẵng,trung_binh,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,online,Cải thiện điểm số,250000,2,dang_tim_gia_su,2026-04-03
HS_EX_0038,Đỗ Đức Khoa,THPT_NMK,THPT Nguyễn Thị Minh Khai,thpt,LOP_12,Lớp 12,thpt,KV_DN_ST,Sơn Trà,Sơn Trà,Đà Nẵng,gioi,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,online,Cải thiện điểm số,150000,4,dang_tim_gia_su,2026-03-31
HS_EX_0039,Lê Hoàng Nhung,THPT_NT_HN,THPT Nguyễn Trãi - Ba Đình,thpt,LOP_06,Lớp 6,thcs,KV_HN_TX,Thanh Xuân,Thanh Xuân,Hà Nội,gioi,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,online,Cải thiện điểm số,200000,4,dang_tim_gia_su,2026-03-06
HS_EX_0040,Dương Mai Mai,THPT_VD,THPT Việt Đức,thpt,LOP_09,Lớp 9,thcs,KV_HCM_Q4,Quận 4,Quận 4,Hồ Chí Minh,xuat_sac,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,ca_hai,Cải thiện điểm số,250000,4,dang_tim_gia_su,2026-03-29
HS_EX_0041,Lê Thị Vy,THPT_ST,THPT Sơn Tây,thpt,LOP_10,Lớp 10,thpt,KV_HCM_BT,Bình Thạnh,Bình Thạnh,Hồ Chí Minh,gioi,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,ca_hai,Cải thiện điểm số,250000,2,dang_tim_gia_su,2026-03-29
HS_EX_0042,Nguyễn Thị Linh,THPT_KL,THPT Kim Liên,thpt,LOP_09,Lớp 9,thcs,KV_HCM_TB,Tân Bình,Tân Bình,Hồ Chí Minh,xuat_sac,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,ca_hai,Cải thiện điểm số,150000,3,dang_tim_gia_su,2026-03-05
HS_EX_0043,Lý Đức Phú,THPT_NT_HN,THPT Nguyễn Trãi - Ba Đình,thpt,LOP_09,Lớp 9,thcs,KV_HN_BTL,Bắc Từ Liêm,Bắc Từ Liêm,Hà Nội,xuat_sac,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,ca_hai,Cải thiện điểm số,250000,4,dang_tim_gia_su,2026-03-09
HS_EX_0044,Nguyễn Trọng Kiệt,THPT_VTS,THPT Võ Thị Sáu,thpt,LOP_06,Lớp 6,thcs,KV_HCM_BT,Bình Thạnh,Bình Thạnh,Hồ Chí Minh,yeu,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,online,Cải thiện điểm số,200000,2,dang_tim_gia_su,2026-03-16
HS_EX_0045,Đặng Đức Đức,THPT_LQD_DN,THPT Chuyên Lê Quý Đôn,thpt,LOP_12,Lớp 12,thpt,KV_HN_DD,Đống Đa,Đống Đa,Hà Nội,trung_binh,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,truc_tiep,Cải thiện điểm số,150000,4,dang_tim_gia_su,2026-03-15
HS_EX_0046,Hoàng Văn Nam,THPT_GD,THPT Gia Định,thpt,LOP_09,Lớp 9,thcs,KV_HCM_Q1,Quận 1,Quận 1,Hồ Chí Minh,trung_binh,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,online,Cải thiện điểm số,250000,3,dang_tim_gia_su,2026-03-22
HS_EX_0047,Ngô Quang Cường,THPT_CBQ,THPT Cao Bá Quát,thpt,LOP_12,Lớp 12,thpt,KV_HN_CG,Cầu Giấy,Cầu Giấy,Hà Nội,gioi,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,truc_tiep,Cải thiện điểm số,200000,3,dang_tim_gia_su,2026-03-09
HS_EX_0048,Hoàng Thị Thu,THPT_PN,THPT Phú Nhuận,thpt,LOP_06,Lớp 6,thcs,KV_HCM_Q8,Quận 8,Quận 8,Hồ Chí Minh,gioi,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,online,Cải thiện điểm số,150000,2,dang_tim_gia_su,2026-03-17
HS_EX_0049,Lý Ngọc Thảo,THPT_MQ,THPT Mạc Đĩnh Chi,thpt,LOP_12,Lớp 12,thpt,KV_HCM_Q7,Quận 7,Quận 7,Hồ Chí Minh,yeu,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,ca_hai,Cải thiện điểm số,150000,4,dang_tim_gia_su,2026-03-25
HS_EX_0050,Lê Thị Thảo,THPT_TDN,THPT Chuyên Trần Đại Nghĩa,thpt,LOP_06,Lớp 6,thcs,KV_DN_TK,Thanh Khê,Thanh Khê,Đà Nẵng,yeu,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,truc_tiep,Cải thiện điểm số,150000,2,dang_tim_gia_su,2026-03-17
HS_EX_0051,Nguyễn Hồng Mai,THPT_TPh,THPT Thái Phiên,thpt,LOP_06,Lớp 6,thcs,KV_DN_NHS,Ngũ Hành Sơn,Ngũ Hành Sơn,Đà Nẵng,trung_binh,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,online,Cải thiện điểm số,250000,4,dang_tim_gia_su,2026-03-25
HS_EX_0052,Nguyễn Trọng Nam,THPT_KL,THPT Kim Liên,thpt,LOP_06,Lớp 6,thcs,KV_DN_HC,Hải Châu,Hải Châu,Đà Nẵng,xuat_sac,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,online,Cải thiện điểm số,150000,2,dang_tim_gia_su,2026-03-12
HS_EX_0053,Trần Thanh Thảo,THPT_GD,THPT Gia Định,thpt,LOP_12,Lớp 12,thpt,KV_HCM_Q7,Quận 7,Quận 7,Hồ Chí Minh,gioi,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,truc_tiep,Cải thiện điểm số,200000,3,dang_tim_gia_su,2026-03-16
HS_EX_0054,Bùi Trọng Hùng,THPT_OIK,THPT Ông Ích Khiêm,thpt,LOP_10,Lớp 10,thpt,KV_HN_BD,Ba Đình,Ba Đình,Hà Nội,gioi,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,online,Cải thiện điểm số,200000,4,dang_tim_gia_su,2026-03-06
HS_EX_0055,Đỗ Hải Hùng,THPT_NT_HCM,THPT Nguyễn Trãi,thpt,LOP_10,Lớp 10,thpt,KV_HN_HD,Hà Đông,Hà Đông,Hà Nội,yeu,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,truc_tiep,Cải thiện điểm số,150000,4,dang_tim_gia_su,2026-03-10
HS_EX_0056,Đỗ Hải Nam,THPT_TDN,THPT Chuyên Trần Đại Nghĩa,thpt,LOP_10,Lớp 10,thpt,KV_DN_LC,Liên Chiểu,Liên Chiểu,Đà Nẵng,trung_binh,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,ca_hai,Cải thiện điểm số,250000,4,dang_tim_gia_su,2026-04-03
HS_EX_0057,Bùi Ngọc Mai,THPT_VD,THPT Việt Đức,thpt,LOP_10,Lớp 10,thpt,KV_HN_TH,Tây Hồ,Tây Hồ,Hà Nội,yeu,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,ca_hai,Cải thiện điểm số,200000,2,dang_tim_gia_su,2026-03-31
HS_EX_0058,Phạm Ngọc Mai,THPT_DD,THPT Đống Đa,thpt,LOP_06,Lớp 6,thcs,KV_HN_CG,Cầu Giấy,Cầu Giấy,Hà Nội,xuat_sac,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,online,Cải thiện điểm số,150000,3,dang_tim_gia_su,2026-03-13
HS_EX_0059,Vũ Quang Đạt,THPT_CBQ,THPT Cao Bá Quát,thpt,LOP_12,Lớp 12,thpt,KV_HN_DD,Đống Đa,Đống Đa,Hà Nội,kha,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,truc_tiep,Cải thiện điểm số,200000,4,dang_tim_gia_su,2026-03-15
HS_EX_0060,Bùi Thái Cường,THPT_NMK,THPT Nguyễn Thị Minh Khai,thpt,LOP_12,Lớp 12,thpt,KV_HCM_Q5,Quận 5,Quận 5,Hồ Chí Minh,yeu,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,truc_tiep,Cải thiện điểm số,200000,2,dang_tim_gia_su,2026-03-14
HS_EX_0061,Nguyễn Xuân Thảo,THPT_LHP,THPT Chuyên Lê Hồng Phong,thpt,LOP_06,Lớp 6,thcs,KV_DN_ST,Sơn Trà,Sơn Trà,Đà Nẵng,yeu,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,truc_tiep,Cải thiện điểm số,200000,4,dang_tim_gia_su,2026-03-14
HS_EX_0062,Đặng Hải Khoa,THPT_CG,THPT Cầu Giấy,thpt,LOP_10,Lớp 10,thpt,KV_DN_LC,Liên Chiểu,Liên Chiểu,Đà Nẵng,kha,excel,hoat_dong,2026-04-03,MON_VAN,Ngữ văn,xa_hoi,ca_hai,Cải thiện điểm số,150000,4,dang_tim_gia_su,2026-03-16
HS_EX_0063,Vũ Hải Phú,THPT_NTH_HCM,THPT Nguyễn Thượng Hiền,thpt,LOP_06,Lớp 6,thcs,KV_HN_TX,Thanh Xuân,Thanh Xuân,Hà Nội,xuat_sac,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,truc_tiep,Cải thiện điểm số,200000,3,dang_tim_gia_su,2026-03-28
HS_EX_0064,Vũ Hồng Châu,THPT_NT_HCM,THPT Nguyễn Trãi,thpt,LOP_10,Lớp 10,thpt,KV_HCM_TP,Tân Phú,Tân Phú,Hồ Chí Minh,xuat_sac,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,ca_hai,Cải thiện điểm số,150000,3,dang_tim_gia_su,2026-03-30
HS_EX_0065,Lê Văn Đạt,THPT_DD,THPT Đống Đa,thpt,LOP_06,Lớp 6,thcs,KV_HN_NTL,Nam Từ Liêm,Nam Từ Liêm,Hà Nội,gioi,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,truc_tiep,Cải thiện điểm số,150000,2,dang_tim_gia_su,2026-03-30
HS_EX_0066,Vũ Trọng Huy,THPT_NTH_HCM,THPT Nguyễn Thượng Hiền,thpt,LOP_12,Lớp 12,thpt,KV_HCM_Q1,Quận 1,Quận 1,Hồ Chí Minh,yeu,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,truc_tiep,Cải thiện điểm số,150000,3,dang_tim_gia_su,2026-03-20
HS_EX_0067,Phạm Văn Kiệt,THPT_DA,THPT Đông Anh,thpt,LOP_12,Lớp 12,thpt,KV_HCM_BT,Bình Thạnh,Bình Thạnh,Hồ Chí Minh,trung_binh,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,truc_tiep,Cải thiện điểm số,250000,4,dang_tim_gia_su,2026-03-14
HS_EX_0068,Trần Đình Nam,THPT_CG,THPT Cầu Giấy,thpt,LOP_06,Lớp 6,thcs,KV_HCM_Q1,Quận 1,Quận 1,Hồ Chí Minh,yeu,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,truc_tiep,Cải thiện điểm số,200000,3,dang_tim_gia_su,2026-03-04
HS_EX_0069,Hoàng Thái Huy,THPT_NT_HCM,THPT Nguyễn Trãi,thpt,LOP_12,Lớp 12,thpt,KV_HN_BTL,Bắc Từ Liêm,Bắc Từ Liêm,Hà Nội,kha,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,online,Cải thiện điểm số,150000,3,dang_tim_gia_su,2026-03-31
HS_EX_0070,Ngô Hải Nam,THPT_LQD_HCM,THPT Lê Quý Đôn,thpt,LOP_06,Lớp 6,thcs,KV_HN_HBT,Hai Bà Trưng,Hai Bà Trưng,Hà Nội,yeu,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,online,Cải thiện điểm số,250000,3,dang_tim_gia_su,2026-03-30
HS_EX_0071,Ngô Hồng Thu,THPT_MQ,THPT Mạc Đĩnh Chi,thpt,LOP_06,Lớp 6,thcs,KV_HN_NTL,Nam Từ Liêm,Nam Từ Liêm,Hà Nội,kha,excel,hoat_dong,2026-04-03,MON_LY,Vật lý,tu_nhien,truc_tiep,Cải thiện điểm số,200000,2,dang_tim_gia_su,2026-03-07
HS_EX_0072,Đỗ Trọng Đức,THPT_HHT,THPT Hoàng Hoa Thám,thpt,LOP_09,Lớp 9,thcs,KV_HN_HD,Hà Đông,Hà Đông,Hà Nội,yeu,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,online,Cải thiện điểm số,150000,4,dang_tim_gia_su,2026-03-09
HS_EX_0073,Nguyễn Thái Phú,THPT_VTS,THPT Võ Thị Sáu,thpt,LOP_06,Lớp 6,thcs,KV_HCM_TP,Tân Phú,Tân Phú,Hồ Chí Minh,yeu,excel,hoat_dong,2026-04-03,MON_TOAN,Toán,tu_nhien,ca_hai,Cải thiện điểm số,150000,4,dang_tim_gia_su,2026-03-28
HS_EX_0074,Lê Thị Hân,THPT_KL,THPT Kim Liên,thpt,LOP_10,Lớp 10,thpt,KV_HN_HBT,Hai Bà Trưng,Hai Bà Trưng,Hà Nội,xuat_sac,excel,hoat_dong,2026-04-03,MON_ANH,Tiếng Anh,ngoai_ngu,online,Cải thiện điểm số,200000,4,dang_tim_gia_su,2026-03-31
